Date,Libellé,Montant
10/01/2024,VIREMENT SALAIRE SOPRA STERIA,2 450,00
12/01/2024,PRLV LOYER JANVIER,-850,00
13/01/2024,CB CARREFOUR CITY PARIS,-45,20
14/01/2024,PRLV EDF ELECTRICITE,-62,50
15/01/2024,CB MCDONALDS CHAMPS,-14,90
18/01/2024,CB AMAZON PAYMENTS,-34,99
20/01/2024,PRLV FREE MOBILE,-19,99
25/01/2024,CB SNCF CONNECT,-85,00
28/01/2024,CB LIDL FRANCE,-67,30
02/02/2024,VIREMENT SALAIRE SOPRA STERIA,2 450,00
05/02/2024,PRLV LOYER FEVRIER,-850,00
06/02/2024,CB UBER TRIP,-12,50
10/02/2024,CB LEROY MERLIN BRICOLAGE,-120,45
12/02/2024,PRLV NETFLIX ABONNEMENT,-13,49
14/02/2024,CB RESTAURANT LE GOURMET,-89,00
15/02/2024,CB TOTAL ENERGIES STATION,-55,00
20/02/2024,CB DECATHLON SPORT,-49,90
28/02/2024,CB CARREFOUR MARKET,-112,00
05/03/2024,VIREMENT SALAIRE SOPRA STERIA,2 450,00
06/03/2024,PRLV LOYER MARS,-850,00
08/03/2024,CB PHARMACIE DU CENTRE,-23,50
12/03/2024,CB DOCTOLIB CONSULTATION,-26,50
15/03/2024,CB ZARA VETEMENTS,-79,90
20/03/2024,CB SPOTIFY PREMIUM,-9,99
25/03/2024,VIREMENT CAF APL,+150,00
02/04/2024,CB AIRBNB VOYAGE,-350,00
05/04/2024,CB SNCF OUIGO,-45,00
10/04/2024,CB UBER EATS,-24,50
15/04/2024,CB AUCHAN SUPERMARCHE,-145,80
20/04/2024,CB FNAC MULTIMEDIA,-299,99
05/05/2024,VIREMENT SALAIRE SOPRA STERIA,2 450,00
06/05/2024,PRLV LOYER MAI,-850,00
10/05/2024,CB INTERSPORT,-65,00
15/05/2024,CB LECLERC DRIVE,-98,20
20/05/2024,CB CINEMA PATHE,-14,20
25/05/2024,CB APPLE STORE,-1 250,00
02/06/2024,VIREMENT REMBOURSEMENT CPAM,+35,00
05/06/2024,CB VINTED ACHAT,-45,00
10/06/2024,CB IKEA MEUBLES,-180,50
15/06/2024,CB BOOKING HOTEL,-420,00
20/06/2024,CB PEAGE VINCI,-22,50
25/06/2024,CB TOTAL STATION SERVICE,-60,00
05/07/2024,VIREMENT SALAIRE PRIME,3 200,00
10/07/2024,CB RESTAURANT PLAGE,-120,00
15/07/2024,RETRAIT DAB,-50,00
20/07/2024,CB GLACIER VACANCES,-12,50
05/08/2024,VIREMENT SALAIRE AOUT,2 450,00
15/08/2024,CB PICARD SURGELES,-35,60
20/08/2024,CB BASIC FIT MENSUEL,-29,99
01/09/2024,PRLV IMPOTS REVENU,-250,00
05/09/2024,CB CASTORAMA,-85,90
10/09/2024,CB BOULANGERIE PAUL,-8,50
15/09/2024,CB MONOPRIX,-42,10
02/10/2024,CB AMAZON PRIME,-69,90
05/10/2024,CB UNIQ CLOTHING,-55,00
10/10/2024,CB BURGER KING,-15,90
15/10/2024,VIREMENT SALAIRE OCTOBRE,2 450,00
20/10/2024,CB SEPHORA,-65,00
05/11/2024,CB GRAND FRAIS,-88,40
10/11/2024,CB ALDI MARCHE,-45,00
15/11/2024,CB STEAM GAMES,-49,99
01/12/2024,CB CADEAUX NOEL FNAC,-150,00
05/12/2024,CB SWAROVSKI CADEAU,-89,00
10/12/2024,CB CARREFOUR TRAITEUR,-120,00
15/12/2024,VIREMENT SALAIRE DECEMBRE,2 450,00
20/12/2024,CB CHOCOLAT LINDT,-25,00
05/01/2025,PRLV LOYER JANVIER,-850,00
06/01/2025,CB UBER,-15,00
07/01/2025,CB GALETTE DES ROIS,-18,00
