Date;Libellé;Montant
2023-01-02;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-01-03;PRLV SEPA LOYER IMMO;-850,00
2023-01-05;EDF ELECTRICITE;-85,00
2023-01-05;CARREFOUR MARKET;-124,50
2023-01-10;NETFLIX ABONNEMENT;-13,49
2023-01-15;UBER TRIP;-15,50
2023-01-20;LIDL COURSES;-45,90
2023-01-25;RESTAURANT LE GOURMET;-42,00
2023-02-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-02-02;PRLV SEPA LOYER IMMO;-850,00
2023-02-04;TOTAL ENERGIES STATION;-60,00
2023-02-06;CARREFOUR CITY;-35,20
2023-02-10;NETFLIX ABONNEMENT;-13,49
2023-02-14;FLEURISTE VALENTIN;-50,00
2023-02-20;DOCTOLIB MEDECIN;-25,00
2023-02-28;AMAZON PRIME;-6,99
2023-03-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-03-02;PRLV SEPA LOYER IMMO;-850,00
2023-03-05;AUCHAN SUPERMARCHE;-150,00
2023-03-10;SNCF CONNECT TRAIN;-85,00
2023-03-12;LEROY MERLIN BRICOLAGE;-120,00
2023-03-20;SPOTIFY PREMIUM;-10,99
2023-03-25;REMBOURSEMENT CPAM;25,00
2023-04-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-04-03;PRLV SEPA LOYER IMMO;-850,00
2023-04-10;ZARA VETEMENTS;-89,90
2023-04-15;UBER EATS;-22,50
2023-04-20;CARREFOUR MARKET;-110,00
2023-04-28;PHARMACIE DE GARDE;-18,50
2023-05-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-05-02;PRLV SEPA LOYER IMMO;-850,00
2023-05-05;CAF APL;150,00
2023-05-10;DECATHLON SPORT;-45,00
2023-05-15;MC DONALDS;-14,90
2023-05-20;CARREFOUR DRIVE;-180,00
2023-06-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-06-02;PRLV SEPA LOYER IMMO;-850,00
2023-06-10;SNCF TGV INOUI;-110,00
2023-06-15;BURGER KING;-12,50
2023-06-25;FNAC LIVRE;-19,90
2023-07-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-07-02;PRLV SEPA LOYER IMMO;-850,00
2023-07-05;AIRBNB VACANCES;-600,00
2023-07-10;PEAGE AUTOROUTE;-45,50
2023-07-15;TOTAL STATION;-70,00
2023-07-20;RESTO BORD DE MER;-120,00
2023-07-25;GLACIER;-15,00
2023-08-01;VIREMENT SALAIRE ENTREPRISE;2400,00
2023-08-02;PRLV SEPA LOYER IMMO;-850,00
2023-08-10;LIDL COURSES;-80,00
2023-08-15;UBER TRIP;-25,00
2023-08-20;AMAZON ACHAT;-42,90
2023-09-01;VIREMENT SALAIRE ENTREPRISE;2500,00
2023-09-02;PRLV SEPA LOYER IMMO;-850,00
2023-09-05;ABONNEMENT SALLE SPORT;-29,90
2023-09-10;CARREFOUR RENTREE;-210,00
2023-09-15;APPLE STORE;-899,00
2023-09-20;VIREMENT VINTED VENTE;120,00
2023-10-01;VIREMENT SALAIRE ENTREPRISE;2500,00
2023-10-02;PRLV SEPA LOYER IMMO;-850,00
2023-10-05;EDF ELECTRICITE;-95,00
2023-10-15;UGC CINEMA;-24,00
2023-10-20;INTERMARCHE SUPER;-135,00
2023-11-01;VIREMENT SALAIRE ENTREPRISE;2500,00
2023-11-02;PRLV SEPA LOYER IMMO;-850,00
2023-11-10;AMAZON BLACK FRIDAY;-150,00
2023-11-15;UBER EATS;-35,00
2023-11-25;PHARMACIE;-42,00
2023-12-01;VIREMENT SALAIRE ENTREPRISE;2500,00
2023-12-02;VIREMENT PRIME NOEL;1200,00
2023-12-03;PRLV SEPA LOYER IMMO;-850,00
2023-12-10;AUCHAN CADEAUX;-450,00
2023-12-15;SNCF TRAIN NOEL;-130,00
2023-12-20;BOULANGERIE BUCHE;-35,00
2024-01-01;VIREMENT SALAIRE ENTREPRISE;2600,00
2024-01-02;PRLV SEPA LOYER IMMO;-880,00
2024-01-05;ABONNEMENT SALLE SPORT;-29,90
2024-01-10;CARREFOUR MARKET;-140,00
2024-01-15;GALETTE DES ROIS;-15,00
2024-01-20;EDF REGULARISATION;-120,00
2024-02-01;VIREMENT SALAIRE ENTREPRISE;2600,00
2024-02-02;PRLV SEPA LOYER IMMO;-880,00
2024-02-10;RESTO SAINT VALENTIN;-80,00
2024-02-15;NETFLIX ABONNEMENT;-13,49
2024-02-20;LIDL COURSES;-65,00
2024-03-01;VIREMENT SALAIRE ENTREPRISE;2600,00
2024-03-02;PRLV SEPA LOYER IMMO;-880,00
2024-03-05;LEROY MERLIN PEINTURE;-55,00
2024-03-10;UBER TRIP;-18,00
2024-03-15;CARREFOUR CITY;-22,00
